number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_l2_leaf_reg,params_n_estimators,params_objective,params_subsample,state
0,0.7789281425485142,2022-07-29 15:53:02.745420,2022-07-29 16:11:24.677297,0 days 00:18:21.931877,7.765534799331401,Ordered,Bayesian,0.015170457264893758,10,1.6475050554566588,1200,CrossEntropy,,COMPLETE
1,0.7911835685762718,2022-07-29 16:11:24.678324,2022-07-29 16:20:52.354929,0 days 00:09:27.676605,0.17812838921524077,Ordered,Bayesian,0.028480058688063435,6,5.596186944794616,1000,CrossEntropy,,COMPLETE
2,0.7942956556708735,2022-07-29 16:20:52.356028,2022-07-29 17:44:25.952415,0 days 01:23:33.596387,,Ordered,MVS,0.062045631534574736,11,2.035288914962931,1000,Logloss,,COMPLETE
3,0.7925344083581366,2022-07-29 17:44:25.953516,2022-07-29 17:58:45.204915,0 days 00:14:19.251399,,Ordered,Bernoulli,0.05430650343892959,6,1.9198114065768501,1200,Logloss,0.7359312829025918,COMPLETE
4,0.7940464936496034,2022-07-29 17:58:45.207000,2022-07-29 18:35:27.466135,0 days 00:36:42.259135,,Ordered,MVS,0.02411059374488778,11,1.9925125356891185,1000,Logloss,,COMPLETE
5,0.7903522780806831,2022-07-29 18:35:27.467899,2022-07-29 18:46:36.834559,0 days 00:11:09.366660,,Ordered,Bernoulli,0.04461587451887428,5,8.085103696022122,1000,CrossEntropy,0.9324694579161403,COMPLETE
6,0.7664908644197008,2022-07-29 18:46:36.836309,2022-07-29 18:59:10.223429,0 days 00:12:33.387120,9.550874176300567,Ordered,Bayesian,0.03726652022367784,5,2.522676327532688,1200,Logloss,,COMPLETE
7,0.7938006514257001,2022-07-29 18:59:10.225499,2022-07-29 19:09:32.335971,0 days 00:10:22.110472,,Plain,Bernoulli,0.05756406523444946,8,8.385386174923305,1000,Logloss,0.8401552916090881,COMPLETE
8,0.7947934231784729,2022-07-29 19:09:32.337583,2022-07-29 19:37:19.380882,0 days 00:27:47.043299,,Ordered,MVS,0.04256351737217465,9,3.0524378696955092,1400,Logloss,,COMPLETE
9,0.7936522271109059,2022-07-29 19:37:19.382174,2022-07-29 19:58:37.951886,0 days 00:21:18.569712,,Ordered,MVS,0.07421065760611852,6,2.9776234859773263,1400,Logloss,,COMPLETE
10,0.7917429427520517,2022-07-29 19:58:37.954806,2022-07-29 20:04:16.952257,0 days 00:05:38.997451,,Plain,MVS,0.08724675813962234,9,1.004742163854463,1400,CrossEntropy,,COMPLETE
11,0.7914697194046885,2022-07-29 20:04:16.958873,2022-07-29 20:12:23.572061,0 days 00:08:06.613188,,Plain,MVS,0.0637024063560938,12,4.525855052182655,1400,Logloss,,COMPLETE
12,0.7949688206658811,2022-07-29 20:12:23.575556,2022-07-29 20:45:01.067308,0 days 00:32:37.491752,,Ordered,MVS,0.0753383691599897,8,4.124844401357936,1400,Logloss,,COMPLETE
13,0.7943247530146231,2022-07-29 20:45:01.068966,2022-07-29 21:24:56.675561,0 days 00:39:55.606595,,Ordered,MVS,0.09594182062918385,8,4.173752037667998,1400,Logloss,,COMPLETE
14,0.7944015100699746,2022-07-29 21:24:56.677213,2022-07-29 22:09:44.469738,0 days 00:44:47.792525,,Ordered,MVS,0.07660166548439397,9,3.9192700167345484,1400,Logloss,,COMPLETE
15,0.7935647812218418,2022-07-29 22:09:44.470490,2022-07-29 22:20:31.840206,0 days 00:10:47.369716,,Plain,MVS,0.04396334345190864,7,6.071590812322439,1400,Logloss,,COMPLETE
16,0.7918809447499241,2022-07-29 22:20:31.842045,2022-07-29 22:36:29.736935,0 days 00:15:57.894890,,Ordered,MVS,0.07524771339556531,10,3.1141818601598237,1400,Logloss,,COMPLETE
17,0.7941099652046927,2022-07-29 22:36:29.739488,2022-07-29 23:06:09.016757,0 days 00:29:39.277269,,Ordered,MVS,0.087714982798578,7,1.3286634681051448,1400,Logloss,,COMPLETE
18,0.7890735654259917,2022-07-29 23:06:09.019051,2022-07-29 23:10:34.136205,0 days 00:04:25.117154,2.3801516326213488,Plain,Bayesian,0.048014558273163664,10,5.924712754254737,1400,CrossEntropy,,COMPLETE
19,0.790003146532019,2022-07-29 23:10:34.142004,2022-07-29 23:17:57.610497,0 days 00:07:23.468493,,Ordered,Bernoulli,0.010005354281969914,8,2.5922933306333285,1400,Logloss,0.13501084723404444,COMPLETE
