number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_num_leaves,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
0,0.7951455942696569,2022-07-19 03:45:15.353000,2022-07-19 04:35:53.762926,0 days 00:50:38.409926,0.2005387198777498,103,0.008438197395346564,33.81003038010671,2.8732393755754035,0.656594014444382,COMPLETE
1,0.7952346796323262,2022-07-19 04:35:53.764730,2022-07-19 05:31:10.964153,0 days 00:55:17.199423,0.23754439125847782,81,0.04346041875256112,34.43299589257389,2.555524115364568,0.6798664442904587,COMPLETE
2,0.7946309758752326,2022-07-19 05:31:10.965952,2022-07-19 06:16:50.183338,0 days 00:45:39.217386,0.2417314183670896,90,0.06759806361707751,33.34752602551409,2.7761464008212635,0.6972839304966406,COMPLETE
3,0.7960066762288064,2022-07-19 06:16:50.184785,2022-07-19 07:10:05.245759,0 days 00:53:15.060974,0.22939108134538722,131,0.15629259686394384,20.757211453956817,1.4621211311653781,0.7465315129708244,COMPLETE
4,0.7950116711636616,2022-07-19 07:10:05.247215,2022-07-19 08:04:05.212205,0 days 00:53:59.964990,0.26501942335573764,133,0.007667806511356941,38.618814283785134,1.209573520563927,0.7328816385306529,COMPLETE
5,0.7951595019458934,2022-07-19 08:04:05.213386,2022-07-19 08:54:13.306611,0 days 00:50:08.093225,0.2377915676643187,92,0.020237214552749294,37.627938162049155,1.9270400268521293,0.705393674925985,COMPLETE
6,0.7947643542219426,2022-07-19 08:54:13.308144,2022-07-19 09:51:54.694482,0 days 00:57:41.386338,0.2011837470269477,141,0.02884839552832661,43.67334523997354,2.956971046250432,0.6618531607167095,COMPLETE
7,0.7947940883075126,2022-07-19 09:51:54.696058,2022-07-19 10:42:12.032076,0 days 00:50:17.336018,0.2662200580513782,137,0.03899655499909763,34.45176165941243,2.3954161377161665,0.7311620865759083,COMPLETE
8,0.7957737020598233,2022-07-19 10:42:12.033740,2022-07-19 11:44:48.292555,0 days 01:02:36.258815,0.20349933321127467,115,0.018710186285392744,21.732474057796768,1.3283783657596826,0.7252397773114443,COMPLETE
9,0.7945923638832074,2022-07-19 11:44:48.294801,2022-07-19 12:32:50.000612,0 days 00:48:01.705811,0.2288120758106959,74,0.1223139292803324,25.612145098333094,2.750453553313304,0.7431800570870591,COMPLETE
10,0.7958331928215655,2022-07-19 12:32:50.003099,2022-07-19 13:40:19.162481,0 days 01:07:29.159382,0.18165038677889572,117,0.25725047039124915,20.283228912124716,1.7174007779619882,0.7491482069558468,COMPLETE
11,0.7957732346906123,2022-07-19 13:40:19.164110,2022-07-19 14:46:04.542790,0 days 01:05:45.378680,0.18655505345817724,119,0.29341553406478604,20.35543031223038,1.7244308174539795,0.7492377352128065,COMPLETE
12,0.7947107206501238,2022-07-19 14:46:04.545897,2022-07-19 15:41:23.877757,0 days 00:55:19.331860,0.21843483229424465,150,0.28036157065462064,55.6505859992399,1.5712134920399206,0.7100233793832966,COMPLETE
13,0.7959501164251127,2022-07-19 15:41:23.879206,2022-07-19 16:53:16.412297,0 days 01:11:52.533091,0.18607057534399804,123,0.1292964332628893,25.52509847686367,2.1201225102010617,0.7183196237781784,COMPLETE
14,0.7955684976545001,2022-07-19 16:53:16.414405,2022-07-19 17:56:59.154821,0 days 01:03:42.740416,0.21722563225523284,131,0.11488985018701638,25.821927454020493,2.1362255897744586,0.7162624353434632,COMPLETE
15,0.7946125327595374,2022-07-19 17:56:59.156293,2022-07-19 19:11:24.788388,0 days 01:14:25.632095,0.278846187108907,125,0.003080793109368129,25.650113474511755,2.166617983745954,0.6910838313893504,COMPLETE
16,0.7950486345332597,2022-07-19 19:11:24.790160,2022-07-19 20:15:19.580826,0 days 01:03:54.790666,0.25291380686728787,104,0.14609681144948172,28.719967504177053,2.3614586022059987,0.7210326604443883,COMPLETE
